capability,kylin11:micro,kylin11:base,kylin11:devel,kylin10:micro,kylin10:base,kylin10:devel,uos25:micro,uos25:base,uos25:devel
apt,NA,Y,Y,NA,Y,Y,NA,Y,Y
apt_check,NA,Y,Y,NA,Y,Y,NA,Y,Y
apt_keyring,NA,Y,Y,NA,Y,Y,NA,Y,Y
apt_roundtrip,NA,Y,Y,NA,Y,Y,NA,N,N
apt_update,NA,Y,Y,NA,Y,Y,NA,Y,Y
autotools,NA,NA,N,NA,NA,N,NA,NA,N
bash,Y,Y,Y,Y,Y,Y,Y,Y,Y
binutils,NA,NA,Y,NA,NA,Y,NA,NA,Y
ca_bundle,Y,Y,Y,Y,Y,Y,Y,Y,Y
cc_clean_stderr,NA,NA,N,NA,NA,Y,NA,NA,Y
cc_present,NA,NA,Y,NA,NA,Y,NA,NA,Y
cmake,NA,NA,N,NA,NA,N,NA,NA,N
compile_c,NA,NA,Y,NA,NA,Y,NA,NA,Y
compile_cxx,NA,NA,Y,NA,NA,Y,NA,NA,N
copyright,Y,Y,Y,Y,Y,Y,Y,Y,Y
coreutils,Y,Y,Y,Y,Y,Y,Y,Y,Y
curl,N,Y,Y,N,Y,Y,N,Y,Y
cxx17,NA,NA,Y,NA,NA,Y,NA,NA,N
cxx20,NA,NA,Y,NA,NA,N,NA,NA,N
cxx_present,NA,NA,Y,NA,NA,Y,NA,NA,N
dns,Y,Y,Y,Y,Y,Y,Y,Y,Y
dnsutil,NA,N,N,NA,N,N,NA,N,N
dpkg_local_deb,Y,Y,Y,Y,Y,Y,Y,Y,Y
dpkg_query,Y,Y,Y,Y,Y,Y,Y,Y,Y
editor,NA,Y,Y,NA,Y,Y,NA,Y,Y
file,NA,Y,Y,NA,Y,Y,NA,Y,Y
findutils,Y,Y,Y,Y,Y,Y,Y,Y,Y
gdb,NA,NA,N,NA,NA,N,NA,NA,N
getent,Y,Y,Y,Y,Y,Y,Y,Y,Y
git,NA,NA,N,NA,NA,N,NA,NA,N
gzip,Y,Y,Y,Y,Y,Y,Y,Y,Y
ip_tools,NA,Y,Y,NA,Y,Y,NA,Y,Y
libc_headers,NA,NA,Y,NA,NA,Y,NA,NA,Y
locale_zh,Y,Y,Y,Y,Y,Y,Y,Y,Y
localtime,Y,Y,Y,Y,Y,Y,Y,Y,Y
lsof,NA,Y,Y,NA,Y,Y,NA,Y,Y
make,NA,NA,Y,NA,NA,Y,NA,NA,Y
make_build,NA,NA,Y,NA,NA,Y,NA,NA,Y
nsswitch,Y,Y,Y,Y,Y,Y,Y,Y,Y
openssl,Y,Y,Y,Y,Y,Y,Y,Y,Y
pager,NA,Y,Y,NA,Y,Y,NA,Y,Y
perl,NA,Y,Y,NA,Y,Y,NA,N,Y
ping,NA,Y,Y,NA,Y,Y,NA,Y,Y
pkgconfig,NA,NA,Y,NA,NA,Y,NA,NA,N
policy_rcd,Y,Y,Y,Y,Y,Y,Y,Y,Y
ps,NA,Y,Y,NA,Y,Y,NA,Y,Y
python3,NA,Y,Y,NA,Y,Y,NA,Y,Y
python3_dev,NA,NA,N,NA,NA,N,NA,NA,N
python3_run,NA,Y,Y,NA,Y,Y,NA,Y,Y
python3_ssl,NA,Y,Y,NA,Y,Y,NA,Y,Y
sh,Y,Y,Y,Y,Y,Y,Y,Y,Y
shadow_files,Y,Y,Y,Y,Y,Y,Y,Y,Y
signal_trap,Y,Y,Y,Y,Y,Y,Y,Y,Y
sock_tools,NA,Y,Y,NA,Y,Y,NA,Y,Y
sources_list,NA,Y,Y,NA,Y,Y,NA,Y,Y
static_link,NA,NA,Y,NA,NA,Y,NA,NA,Y
strace,NA,N,N,NA,N,N,NA,N,N
su_to_user,NA,Y,Y,NA,Y,Y,NA,Y,Y
sudo,NA,NA,NA,NA,NA,NA,NA,NA,NA
systemd,NA,Y,Y,NA,Y,Y,NA,Y,Y
tar,Y,Y,Y,Y,Y,Y,Y,Y,Y
textutils,Y,Y,Y,Y,Y,Y,Y,Y,Y
tls,Y,Y,Y,Y,Y,Y,Y,Y,Y
tmp_writable,Y,Y,Y,Y,Y,Y,Y,Y,Y
top,NA,Y,Y,NA,Y,Y,NA,Y,Y
unzip,NA,Y,Y,NA,Y,Y,NA,Y,Y
useradd,NA,Y,Y,NA,Y,Y,NA,Y,Y
useradd_works,NA,Y,Y,NA,Y,Y,NA,Y,Y
var_writable,Y,Y,Y,Y,Y,Y,Y,Y,Y
wget,N,N,N,N,N,N,N,N,N
xz,N,Y,Y,N,Y,Y,N,Y,Y
zstd,NA,Y,Y,NA,Y,Y,NA,Y,Y
