capability,kylin11:micro,kylin11:base,kylin11:devel,kylin10:micro,kylin10:base,kylin10:devel,uos25:micro,uos25:base,uos25:devel,kylinsec6:micro,kylinsec6:base,kylinsec6:devel,linx6:micro,linx6:base,linx6:devel
arch,amd64,amd64,amd64,amd64,amd64,amd64,amd64,amd64,amd64,x86_64,x86_64,x86_64,amd64,amd64,amd64
autotools,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bash,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
binutils,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
ca_bundle,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
cc_clean_stderr,n/a,n/a,N,n/a,n/a,Y,n/a,n/a,Y,n/a,n/a,Y,n/a,n/a,Y
cc_present,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
cmake,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
compile_c,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
compile_cxx,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y
copyright,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
coreutils,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
curl,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y
cxx17,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y
cxx20,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N
cxx_present,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y
default_target,,multi-user.target,multi-user.target,multi-user.target,multi-user.target,multi-user.target,,multi-user.target,multi-user.target,,multi-user.target,multi-user.target,multi-user.target,multi-user.target,multi-user.target
dns,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
dnsutil,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
editor,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
file,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y
file_caps,n/a,1,1,1,2,2,n/a,0,0,0,3,3,47,47,47
findutils,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
gdb,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
getent,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
