capability,kylin11:micro,kylin11:base,kylin11:devel,kylin10:micro,kylin10:base,kylin10:devel,uos25:micro,uos25:base,uos25:devel,kylinsec6:micro,kylinsec6:base,kylinsec6:devel,linx6:micro,linx6:base,linx6:devel
compile_c,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
static_link,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
compile_cxx,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y
cxx17,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y
cxx20,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N
make_build,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y
cc_clean_stderr,n/a,n/a,N,n/a,n/a,Y,n/a,n/a,Y,n/a,n/a,Y,n/a,n/a,Y
cmake,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
autotools,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pkgconfig,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N
python3_dev,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
