tool,kylin11,kylin10,uos25,kylinsec6,linx6
iproute2,6.1.0-ok1k0.1,5.5.0-1kylin1,装不上,iproute: iproute-1:6.6.0-3.ks6.x86_64,装不上
iputils-ping,3:20240117-ok1.0k0.2,3:20190709-3,装不上,iputils: iputils-0:20221126-5.ks6.x86_64,装不上
bind9-dnsutils,1:9.18.24-ok1,1:9.16.1-0kylin2.9,装不上,bind-utils: bind-utils-32:9.18.21-3.ks6.x86_64,装不上
lsof,4.95.0-ok2k0.1,4.93.2+dfsg-1,装不上,lsof: lsof-0:4.99.3-2.ks6.x86_64,装不上
vim-tiny,2:9.1.0016-ok1k0.4,2:9.1.0016-1kylin7k0.9,装不上,vim-minimal: vim-minimal-2:9.0.2092-12.ks6.x86_64,装不上
zstd,1.5.5-ok3k0.1,1.4.4+dfsg-3kylin0.1,装不上,zstd: zstd-0:1.5.5-1.ks6.x86_64,装不上
unzip,6.0-ok3k0.3,6.0-25kylin1,装不上,unzip: unzip-0:6.0-52.ks6.x86_64,装不上
cmake,3.28.3-ok4k0.2,3.16.3-1kylin1k3,装不上,cmake: cmake-0:3.27.9-5.ks6.x86_64,装不上
autoconf,2.71-ok2k0.1,2.69-11.1,装不上,autoconf: autoconf-0:2.71-5.ks6.noarch,装不上
automake,1:1.16.5-ok1,1:1.16.1-4kylin6,装不上,automake: automake-0:1.16.5-8.ks6.noarch,装不上
git,1:2.43.0-ok3,1:2.25.1-1kylin3.2,装不上,git: git-0:2.43.0-11.ks6.x86_64,装不上
strace,6.8-ok3,4.26-0.2kylin3k1,装不上,strace: strace-0:6.6-2.ks6.x86_64,装不上
gdb,15.0.50.20240403-ok2k0.1,9.1-0kylin1,装不上,gdb: gdb-0:14.1-11.ks6.x86_64,装不上
python3-dev,3.12.2-ok1k0.1,3.8.2-0kylin2,装不上,python3-devel: python3-devel-0:3.11.6-10.ks6.x86_64,装不上
