id,publisher,title,url,title_source,accessed,note
R1,aosc.io,下载中心 | 安同开源社区 (AOSC),https://aosc.io/downloads/,page,2026-08-30,
R2,bianbu.spacemit.com,SpacemiT,https://bianbu.spacemit.com/,page,2026-08-30,
R3,catalog.redhat.com,Red Hat Universal Base Image - Red Hat Ecosystem Catalog,https://catalog.redhat.com/software/base-images,page,2026-08-30,
R4,cdimage.deepin.com,Index of /releases/,https://cdimage.deepin.com/releases/,page,2026-08-30,
R5,cdimage.ubuntu.com,Index of /ubuntukylin/releases,https://cdimage.ubuntu.com/ubuntukylin/releases/,page,2026-08-30,
R6,cdimage.ubuntu.com,Ubuntu Kylin 26.04.1 LTS (Resolute Raccoon),https://cdimage.ubuntu.com/ubuntukylin/releases/26.04.1/release/,page,2026-08-30,
R7,cr.kylinos.cn,(JSON API 响应),https://cr.kylinos.cn/api/v2.0/projects,page,2026-08-30,
R8,cr.kylinos.cn,(JSON API 响应),https://cr.kylinos.cn/api/v2.0/projects/kylin/repositories,page,2026-08-30,
R9,cr.loongnix.cn,(JSON API 响应),https://cr.loongnix.cn/api/v1/repository/loongson/loongnix?includeTags=true,page,2026-08-30,
R10,cs2c.com.cn,公司新闻·天津麒麟、中标软件整合实质完成 中国操作系统新旗舰扬帆起航！ - 国产操作系统、银河麒麟、中标麒麟--中标软件官网,https://cs2c.com.cn/about/company/1349.html,page,2026-08-30,
R11,docs.opencloudos.org,OpenCloudOS v9.6发行说明 - OpenCloudOS Documentation,https://docs.opencloudos.org/release/v9.6/,page,2026-08-30,
R12,docs.opencloudos.org,桌面安装 - OpenCloudOS Documentation,https://docs.opencloudos.org/OCS/Install_Guide/ocs-desktop/,page,2026-08-30,
R13,docs.openeuler.org,图形桌面使用 | 文档 | openEuler社区,https://docs.openeuler.org/zh/docs/24.03_LTS_SP4/tools/desktop/index.html,page,2026-08-30,
R14,faq.uniontech.com,统信操作系统【家庭版、专业版、教育版、社区版】区别介绍 | 统信软件-知识分享平台,https://faq.uniontech.com/desktop/f435/install/da34,page,2026-08-30,
R15,fydeos.com,FydeOS v23: Chromatic Cadence 正式发布 - FydeOS,https://fydeos.com/blog/release-note-v23/,page,2026-08-30,
R16,gitee.com,openKylin 官方容器镜像构建仓（Gitee openkylin 组织）,https://gitee.com/openkylin/openkylin-docker-images,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R17,gitee.com,openEuler 官方容器镜像目录仓（Gitee openeuler 组织）,https://gitee.com/openeuler/openeuler-docker-images,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R18,gitee.com,Anolis OS 官方容器镜像仓（Gitee anolis 组织）,https://gitee.com/anolis/docker-images,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R19,gitee.com,OpenCloudOS 超凡桌面: 超凡桌面（简称EX-NDE）是一个超融合轻量级桌面环境，让系统具备拥有桌面、服务器、平板三种交互模式，能够在更低配置的智能终端、平板、一体机、PC、工作站、服务器等不同的设备场景中流畅运行，减少系统的碎片化。,https://gitee.com/opencloudos-exnde,page,2026-08-30,
R20,github.com,GitHub - AOSC-Dev/aosc-os-docker-files: Docker files for AOSC OS · GitHub,https://github.com/AOSC-Dev/aosc-os-docker-files,page,2026-08-30,
R21,github.com,openFyde repositories · GitHub,https://github.com/orgs/openFyde/repositories,page,2026-08-30,
R22,github.com,"GitHub - IceWhaleTech/ZimaOS: A Simplified, Focused and Open NAS OS_ · GitHub",https://github.com/IceWhaleTech/ZimaOS,page,2026-08-30,
R23,github.com,EvernightFedora (怪力熊玩Fedora) · GitHub,https://github.com/EvernightFedora,page,2026-08-30,
R24,github.com,Aromatic05 (Yiming Sun) · GitHub,https://github.com/Aromatic05,page,2026-08-30,
R25,github.com,GitHub - Wtada233/LankeOS: The public repo of LankeOS. · GitHub,https://github.com/Wtada233/LankeOS,page,2026-08-30,
R26,github.com,GitHub - hansbug-research/cn-desktop-os-buildchain-study: 国产桌面操作系统的 ABI 分档与构建链路选型：27 镜像实测、820 格运行矩阵、C/C++/Rust/Python 四链逐个验证，全部证据可审计 · GitHub,https://github.com/hansbug-research/cn-desktop-os-buildchain-study,page,2026-08-30,
R27,github.com,GitHub - canonical/chisel · GitHub,https://github.com/canonical/chisel,page,2026-08-30,
R28,github.com,GitHub - chainguard-dev/apko: Build OCI images from APK packages directly without Dockerfile · GitHub,https://github.com/chainguard-dev/apko,page,2026-08-30,
R29,gitlab.mister-muffin.de,mmdebstrap 项目仓（J. Schauer）,https://gitlab.mister-muffin.de/josch/mmdebstrap,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R30,hub.docker.com,openkylin/openkylin - Docker Image,https://hub.docker.com/r/openkylin/openkylin,page,2026-08-30,
R31,hub.docker.com,linuxdeepin/deepin - Docker Image,https://hub.docker.com/r/linuxdeepin/deepin,page,2026-08-30,
R32,hub.docker.com,openeuler/openeuler - Docker Image,https://hub.docker.com/r/openeuler/openeuler,page,2026-08-30,
R33,hub.docker.com,openanolis/anolisos - Docker Image,https://hub.docker.com/r/openanolis/anolisos,page,2026-08-30,
R34,hub.docker.com,OpenCloudOS,https://hub.docker.com/u/opencloudos,page,2026-08-30,
R35,hub.docker.com,aosc/aosc-os - Docker Image,https://hub.docker.com/r/aosc/aosc-os,page,2026-08-30,
R36,hub.docker.com,(JSON API 响应),https://hub.docker.com/v2/orgs/cs2cneokylin/,page,2026-08-30,
R37,hub.docker.com,cs2cneokylin/ns76-base-x86_64 - Docker Image,https://hub.docker.com/r/cs2cneokylin/ns76-base-x86_64,page,2026-08-30,
R38,hub.docker.com,debian - Official Image | Docker Hub,https://hub.docker.com/_/debian,page,2026-08-30,
R39,mirror.iscas.ac.cn,Index of /revyos/,https://mirror.iscas.ac.cn/revyos/,page,2026-08-30,
R40,mirror.nju.edu.cn,openKylin apt 仓库 dists 目录（南京大学镜像站，用于核对代号与血统）,https://mirror.nju.edu.cn/openkylin/dists/,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R41,mirrors.openanolis.cn,Index of /anolis/23.5/isos/GA/x86_64/,https://mirrors.openanolis.cn/anolis/23.5/isos/GA/x86_64/,page,2026-08-30,
R42,mirrors.openanolis.cn,Index of /anolis/23.5/DDE/,https://mirrors.openanolis.cn/anolis/23.5/DDE/,page,2026-08-30,
R43,mirrors.opencloudos.tech,Index of /opencloudos/9.6/isos/x86_64/20260713.0/,https://mirrors.opencloudos.tech/opencloudos/9.6/isos/x86_64/20260713.0/,page,2026-08-30,
R44,openanolis.cn,Anolis OS 23 · 内核 6.6 LTS · OpenAnolis,https://openanolis.cn/anolisos/23,page,2026-08-30,
R45,openfyde.io,openFyde,https://openfyde.io/,page,2026-08-30,
R46,registry.uniontech.com,(JSON API 响应),https://registry.uniontech.com/api/v2.0/projects,page,2026-08-30,
R47,registry.uniontech.com,(JSON API 响应),https://registry.uniontech.com/api/v2.0/projects/uos-server-base/repositories,page,2026-08-30,
R48,repo.openeuler.org,openEuler 24.03 LTS SP3 DevStation 容器 rootfs 目录（官方 repo）,https://repo.openeuler.org/openEuler-24.03-LTS-SP3/DevStation/x86_64/docker_img/,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R49,repo.openeuler.org,openEuler 24.03 LTS SP4 ISO 目录（官方 repo，用于核对无桌面版 ISO）,https://repo.openeuler.org/openEuler-24.03-LTS-SP4/ISO/x86_64/,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R50,repos.os.nfschina.com,Welcome to Repo Server,https://repos.os.nfschina.com/debian-sign/pool/main/m/mate-desktop-environment/,page,2026-08-30,
R51,revyos.github.io,Site not found &middot; GitHub Pages,https://revyos.github.io/,page,2026-08-30,
R52,sourceforge.net,OsoLinux 项目页（SourceForge）,https://sourceforge.net/projects/osolinux/,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R53,uniontech.com,智慧·高效·可靠——统信桌面操作系统V25发布！-统信软件,https://uniontech.com/m/news-info/2877.html,page,2026-08-30,
R54,web.archive.org,通用基础软件产品-普华基础软件,http://web.archive.org/web/20260608023757/https://www.i-soft.com.cn/product/currency.html,page,2026-08-30,
R55,web.archive.org,Test Page for the Nginx HTTP Server on Red Hat Enterprise Linux,http://web.archive.org/web/20230401004048/http://emindsoft.com.cn/,page,2026-08-30,
R56,www.atzlinux.com,铜豌豆 Linux,https://www.atzlinux.com/,page,2026-08-30,
R57,www.deepin.org,deepin 25.2.0 Release Note &#8211; Deepin Technology Community,https://www.deepin.org/en/deepin-25-2-release/,page,2026-08-30,
R58,www.emindsoft.com.cn,一铭软件官网首页,http://www.emindsoft.com.cn/index.php,manual,2026-08-30,标题为人工标注（该页未返回 <title>）
R59,www.gd-linux.com,中兴新支点操作系统下载_中兴操作系统下载_NewStartOS下载_国产操作系统下载_新支点OS下载,https://www.gd-linux.com/downloads,page,2026-08-30,
R60,www.gd-linux.com,中兴新支点操作系统官网_NewStartOS_国产操作系统_新支点OS_信创操作系统,https://www.gd-linux.com/desktop/,page,2026-08-30,
